id,english,chinese
13449,"god-fearing","虔诚的"
13450,"god-forsaken",""
13451,"godhead","神性"
13452,"godless","不信奉上帝的"
13453,"godlike","上帝般的"
13454,"godliness","虔诚"
13455,"godly","虔诚的"
13456,"godmother","教母"
13457,"go down","（价格、水平或数量）下降"
13458,"go down as","被认为"
13459,"go down on","与…进行口交"
13460,"go down with","患（病）"
13461,"godparent","教父"
13462,"godsend","天赐之物"
13463,"godson","教子"
13464,"godspeed","（尤用作对即将进行长途艰险旅行的人的祝愿语）幸运"
13465,"-goer","（用于theatre"
13466,"gofer","勤杂员"
13467,"go for","选择"
13468,"go-getter","精力充沛的人"
13469,"goggle","（常指吃惊地）瞪大眼睛看"
13470,"goggle-eyed","（由于吃惊或感兴趣）瞪大眼睛的"
13471,"go-go","跳歌歌舞的（歌歌舞是一种衣着暴露的女子在夜总会随着流行音乐表演的舞蹈）"
13472,"go in","（太阳）被云遮蔽"
13473,"go in for","爱好（某活动）"
13474,"-going","（用于theatre"
13475,"going","将要"
13476,"going-over","仔细的检查"
13477,"goings-on","怪异的行为"
13478,"go into","描述"
13479,"goitre",""
13480,"go-kart","微型赛车"
13481,"go-karting","微型赛车竞赛"
13482,"gold","黄金"
13483,"gold card","（信用卡）金卡"
13484,"gold digger",""
13485,"gold dust","金粉"
13486,"golden","金色的"
13487,"golden age","（尤指艺术、文学等的）黄金时代"
13488,"golden goal","（制胜)金球（指某些足球比赛中加时赛攻入的第一个球）"
13489,"golden goodbye","同golden handshake"
13490,"golden handshake","大笔退职金"
13491,"golden hello","丰厚的见面礼"
13492,"golden jubilee","50周年纪念"
13493,"golden oldie","经久不衰的事物"
13494,"golden parachute","金降落伞（资深主管被解雇时获得的大笔补偿金的协议）"
13495,"golden rule","指导原则"
13496,"golden syrup","金黄色糖浆"
13497,"golden wedding","金婚纪念（结婚50周年纪念）"
13498,"goldfield","金矿区"
13499,"goldfish","金鱼"
13500,"gold leaf","金箔"
13501,"gold medal","金牌"
13502,"goldmine",""
13503,"gold-plated","镀金的"
13504,"gold-rimmed","（眼镜）镶金边的"
13505,"gold rush","淘金热"
13506,"goldsmith","金匠"
13507,"golf","高尔夫球运动"
13508,"golf ball","高尔夫球"
13509,"golf club","高尔夫球杆"
13510,"golf course","高尔夫球场"
13511,"golf-course",""
13512,"golfer","打高尔夫球的人"
13513,"golfing","高尔夫球运动的"
13514,"golly","（表示惊奇）天哪"
13515,"gondola","（尤指威尼斯的）凤尾船"
13516,"gone",""
13517,"goner","垂死的人"
13518,"gong","锣"
13519,"gonna","（用于书面英语中表示going to的非正式发音形式）"
13520,"gonorrhoea","淋病"
13521,"goo","（泥、糨糊等）黏稠物质"
13522,"good","愉快的"
13523,"good afternoon","（问候用语）下午好"
13524,"good-bye",""
13525,"goodbye","（告别用语）再见"
13526,"good day","（问候用语"
13527,"good evening","（问候用语）晚上好"
13528,"good-for-nothing","懒散的"
13529,"good friday","耶稣受难日（复活节前的星期五）"
13530,"good guy","正面人物"
13531,"good-humoured","心情舒畅的"
13532,"goodie",""
13533,"good-looking","漂亮的"
13534,"goodly","相当大的"
13535,"good morning","（问候用语）上午好"
13536,"good-natured","性情温和的"
13537,"goodness","（表示惊讶）天哪"
13538,"good night",""
13539,"goodnight","（晚上分别或睡觉前的道别语）晚安"
13540,"goods","货物"
13541,"goods train","货运列车"
13542,"good-tempered","生性温和的"
13543,"goodwill","友善"
13544,"goody","好东西"
13545,"goody bag","（厂家免费赠送的）礼包"
13546,"goody-goody","精于讨好卖乖的人"
13547,"gooey","软而黏的"
13548,"goof","犯愚蠢的错误"
13549,"goof around","消磨时间"
13550,"go off","对…不再喜欢"
13551,"go off with","移情别恋于"
13552,"goof off","混日子"
13553,"goofy","愚蠢的"
13554,"googly","（板球投手投出的）外曲线球"
13555,"go on","继续做"
13556,"goon","（受雇的）暴徒"
13557,"goose","鹅"
13558,"gooseberry","醋栗"
13559,"goose bumps","鸡皮疙瘩"
13560,"goose pimples","同goose bumps"
13561,"goose-step","正步走"
13562,"go out","外出交际"
13563,"go out for","尝试"
13564,"go out of","不再为…所有"
13565,"go over","仔细检查"
13566,"go over to","转而采取（其他办法）"
13567,"gopher","囊地鼠"
13568,"gore","（动物用角或长牙）顶伤"
13569,"gorge","峡"
13570,"gorgeous","令人愉快的"
13571,"gorilla","大猩猩"
13572,"gormless","迟钝的"
13573,"go round",""
13574,"gorse","荆豆（一种欧洲灌木）"
13575,"gory","血淋淋的"
13576,"gosh","（表示吃惊）天哪"
13577,"gosling","小鹅"
13578,"go-slow","怠工"
13579,"gospel","福音书（《圣经·新约》中记录耶稣基督生平和教诲的四卷书）"
13580,"gossamer","蛛丝般的"
13581,"gossip","流言蜚语"
13582,"gossip column","（报纸、杂志的）八卦专栏"
13583,"gossipy","记述轶事的"
13584,"got",""
13585,"gotcha","（got you的非规范发音的书写形式）"
13586,"gothic","（建筑等）哥特式的"
13587,"go through","经历"
13588,"go through with","将（决定的事）进行到底"
13589,"go towards","用于支付…的部分款项"
13590,"gotta","必须"
13591,"gotten","（美国英语中get的过去分词）"
13592,"gouge","凿"
13593,"gouge out","凿出"
13594,"go under","（商行等）倒闭"
13595,"go up","（价格、数量或水平）上涨"
13596,"gourd","葫芦"
13597,"gourmand","喜欢吃喝的人"
13598,"gourmet","珍馐的"
13599,"gout","（尤指发生在脚趾的）痛风"
13600,"gov.",""
13601,"govern","统治"
13602,"governance","（国家的）统治方式"
13603,"governess","家庭女教师"
13604,"governing","统治的"
13605,"government","政府"
13606,"governmental","政府的"
13607,"governor","州长"
13608,"governor-general","（旧时派往英属殖民地的）总督"
13609,"governorship","州长职位"
13610,"govt",""
13611,"go with","与…一起存在"
13612,"go without","缺少（所需之物）"
13613,"gown","女裙"
13614,"gp","全科医生"
13615,"gps",""
13616,"grab","抓住"
13617,"grab bag","摸彩游戏"
13618,"grace","优美"
13619,"graceful","优美的"
13620,"graceless","不优美的"
13621,"gracious","（尤指自己的上级或长者）和蔼的"
13622,"grad","同graduate"
13623,"gradation","逐渐的变化"
13624,"grade","将…分等级"
13625,"grade crossing","（铁路与公路的）平面交叉处"
13626,"graded","（动词或副词）有程度之分的"
13627,"graded reader","分级读物"
13628,"-grader","（美国英语用法"
13629,"grade school","（美国）同elementary school"
13630,"gradient","斜坡"
13631,"gradual","逐渐的"
13632,"gradually","逐渐地"
13633,"graduate","（英国的）大学毕业生"
13634,"graduated","递增的"
13635,"graduate school","（美国）研究生院"
13636,"graduate student","研究生"
13637,"graduation","毕业"
13638,"graffiti","（在公共场所的）涂画"
13639,"graft","移植的皮肤（或骨骼）"
13640,"grail","（耶稣在最后的晚餐上所用的）圣杯"
13641,"grain","谷粒"
13642,"grain elevator","（备有谷物升运器的）谷仓"
13643,"grainy","（照片） 有颗粒的"
13644,"-gram","（用以构成复合名词）表示“乔装打扮成向…传递讯息的人”"
13645,"gram","克（重量单位）"
13646,"grammar","语法"
13647,"grammarian","语法学家"
13648,"grammar school","（英国为成绩优异的11至18岁学生设立的）文法学校"
13649,"grammatical","语法的"
13650,"gramme",""
13651,"gramophone","留声机"
13652,"gran","奶奶"
13653,"granary","谷仓"
13654,"grand","宏伟的"
13655,"grandad","爷爷"
13656,"grandaddy","爷爷"
13657,"grandchild","孙子"
13658,"granddad",""
13659,"granddaddy",""
13660,"granddaughter","孙女"
13661,"grandee","大公（旧时西班牙的最高爵位）"
13662,"grandeur","宏伟"
13663,"grandfather","（外）祖父"
13664,"grandfather clock","落地式大摆钟"
13665,"grandiloquent","一本正经的"
13666,"grandiose","华而不实的"
13667,"grand jury","（通常指美国的）大陪审团"
13668,"grandly","装模作样地"
13669,"grandma","（外）祖母"
13670,"grandmaster","国际象棋特级大师"
13671,"grandmother","（外）祖母"
13672,"grandpa","（外）祖父"
13673,"grandparent","（外）祖父母"
13674,"grand piano","大钢琴"
13675,"grand prix","国际汽车大奖赛"
13676,"grand slam","大赛的"
13677,"grandson","（外）孙子"
13678,"grandstand","大看台"
13679,"grandstanding","哗众取宠"
13680,"grand tour","游学旅行（旧时富家子弟作为其教育的一部分在欧洲主要城市的游览）"
13681,"granite","花岗石"
13682,"grannie",""
13683,"granny","（外）祖母"
13684,"grant","拨款"
13685,"granted","（表示某事属实"
13686,"grant-maintained","（英国学校）由中央政府拨款（或出资）的(缩略形式为GM)"
13687,"granular","由颗粒组成的"
13688,"granulated sugar","白砂糖"
13689,"granule","颗粒状物"
13690,"grape","葡萄"
13691,"grapefruit","葡萄柚"
13692,"grapevine","小道消息"
13693,"graph","图"
13694,"graphic","（对令人不快之事的描述）形象的"
13695,"graphical","图（表）的"
13696,"graphic design","平面设计"
13697,"graphic designer","平面设计师"
13698,"graphite","石墨"
13699,"graphology","笔迹学"
13700,"graph paper","方格纸"
13701,"grapple","努力解决（问题）"
13702,"grasp","抓紧"
13703,"grasping","一味攫取的"
13704,"grass","草"
13705,"grasshopper","蚱蜢"
13706,"grassland","草原"
13707,"grass over","在…种满草"
13708,"grass roots","基层群众"
13709,"grassroots","基层群众"
13710,"grass-roots","基层群众"
13711,"grass up",""
13712,"grassy","长满草的"
13713,"grata",""
13714,"grate","炉栅"
13715,"grateful","感激的"
13716,"grater","（厨房的）磨碎器"
13717,"gratify","使高兴"
13718,"gratin","脆皮烙菜（表面覆以奶酪或奶汁）"
13719,"grating","栅栏"
13720,"gratis","免费地"
13721,"gratitude","感恩之情"
13722,"gratuitous","无理由的"
13723,"gratuity","小费"
13724,"grave","墓穴"
13725,"gravedigger","掘墓人"
13726,"gravel","砂砾"
13727,"gravelled","（道路等）铺上碎石的"
13728,"gravelly","（声音）沙哑低沉的"
13729,"graveside","坟墓边(通常在谈论某人下葬时用此说法)"
13730,"gravestone","墓碑"
13731,"graveyard","（有时指教堂边的）墓地"
13732,"graveyard shift","夜班"
13733,"gravitas","庄严"
13734,"gravitate","被吸引到"
13735,"gravitation","引力"
13736,"gravitational","与引力有关的"
13737,"gravity","重力"
13738,"gravy","肉汁"
13739,"gravy boat","船形肉卤盘"
13740,"gravy train","轻松赚大钱的机会"
13741,"gray",""
13742,"graying",""
13743,"graze","（动物）吃青草"
13744,"grazing","草场"
13745,"gre","（美国）研究生入学考试"
13746,"grease","润滑油"
13747,"greasepaint","化装油彩"
13748,"greaseproof paper","防油纸"
13749,"greasy","有油渍的"
13750,"greasy spoon","（主营油炸食品的）廉价小餐馆"
13751,"great-","（用于亲属关系的名词之前表示更高一辈的关系）"
13752,"great","很大的"
13753,"great britain","大不列颠岛（由英格兰、苏格兰和威尔士组成"
13754,"greatcoat","（尤指作为制服的）厚长大衣"
13755,"great coat",""
13756,"greater","（great的比较级）"
13757,"greatly","非常地"
13758,"grebe","鸊鷉（一种水鸟）"
13759,"grecian","古希腊式的"
13760,"greed","贪婪"
13761,"greedy","贪婪的"
13762,"greek","希腊的"
13763,"green","绿"
13764,"greenback","钞票"
13765,"green bean","青刀豆"
13766,"green belt","（城市周围的）绿化带"
13767,"green beret","“绿色贝雷帽”"
13768,"green card","绿卡（允许外国公民在美国生活和居住的证件）"
13769,"greenery","绿色植物"
13770,"greenfield","未开发地区的"
13771,"greenfly","蚜虫"
13772,"greengage","西洋李"
13773,"greengrocer","蔬菜水果商"
13774,"greenhouse","温室"
13775,"greenhouse effect","温室效应"
13776,"greenhouse gas","温室气体（主要为二氧化碳）"
13777,"greening","环保意识的增强"
13778,"greenish","浅绿色的"
13779,"greenmail","绿票讹诈（收购方以收购公司为要挟而迫使某公司溢价回购股票）"
13780,"green onion","大葱"
13781,"green paper","绿皮书（英国供民众讨论的政府提案文件）"
13782,"green party","绿党（关注环保的政党）"
13783,"green pepper","青椒"
13784,"green revolution","绿色革命（尤指发展中国家为增加粮食产量而采用新品种和新耕种方法的举措）"
13785,"green room",""
13786,"greenroom","（剧场、演播室等的）演员休息室"
13787,"green salad","蔬菜色拉"
13788,"greenwich mean time",""
13789,"greeny","微绿的"
13790,"greet","同…打招呼"
13791,"greeting","问候"
13792,"greetings card","贺卡"
13793,"gregarious","爱交际的"
13794,"gremlin","（尤指机器出现不明故障时人们假想出来的捣乱的）小妖精"
13795,"grenade","手榴弹"
13796,"grew",""
13797,"grey","灰色"
13798,"grey area","灰色地带"
13799,"greyhound","灵犭是（身细、腿瘦长、善奔跑的狗）"
13800,"greying","（头发）灰白的"
13801,"greyish","略带灰色的"
13802,"grey market","灰市"
13803,"grey matter","头脑"
13804,"grid","网格"
13805,"griddle","圆烤盘"
13806,"gridiron","美式橄榄球"
13807,"gridlock","交通瘫痪"
13808,"grief","悲伤"
13809,"grief-stricken","极度悲伤的"
13810,"grievance","委屈"
13811,"grieve","（尤指因某人的亡故而）悲痛"
13812,"grievous","极其严重的"
13813,"grievous bodily harm","严重人身伤害（罪）（缩略形式为GBH）"
13814,"griffin","（神话故事中的）狮身鹰首兽"
13815,"griffon",""
13816,"grill","（烤炉内的）烤架"
13817,"grille","（窗户等前的）铁栅"
13818,"grim","严峻的"
13819,"grimace","（因厌恶、痛苦等）做鬼脸"
13820,"grime","污垢"
13821,"grim reaper","狰狞的持镰收割者（指死神"
13822,"grimy","满是污垢的"
13823,"grin","露齿而笑"
13824,"grind","磨碎"
13825,"grind down","虐待"
13826,"grinder","研磨机"
13827,"grinding","没完没了的"
13828,"grind on","令人厌烦地继续下去"
13829,"grind out","机械地做"
13830,"grindstone","磨石"
13831,"grind up",""
13832,"gringo","外国佬"
13833,"grip","紧握"
13834,"gripe","抱怨"
13835,"griping","肠（或胃）绞痛的"
13836,"grisly","令人极度厌恶的"
13837,"grist","对…有用的东西（或有利的事）"
13838,"gristle","（尤指次等肉中的）软骨"
13839,"grit","沙粒"
13840,"gritty","含沙砾的"
13841,"grizzled","（头发）灰白的"
13842,"grizzly","灰熊"
13843,"groan","呻吟"
13844,"grocer","食品杂货商"
13845,"grocery","食品杂货店"
13846,"grog","格洛格酒（用朗姆酒、威士忌等加水勾兑）"
13847,"groggy","体弱无力的"
13848,"groin","腹股沟"
13849,"groom","同bridegroom"
13850,"groomed","打扮得（干净利落或邋遢）的"
13851,"grooming","打扮"
13852,"groove","沟"
13853,"grooved","有沟的"
13854,"groovy","吸引人的"
13855,"grope","摸索"
13856,"gross","重大的"
13857,"gross domestic product","国内生产总值"
13858,"gross national product","国民生产总值"
13859,"gross out","令…恶心"
13860,"grotesque","古怪的"
13861,"grotto","洞穴"
13862,"grotty","令人厌恶的"
13863,"grouch","好抱怨的人"
13864,"grouchy","脾气坏并常发牢骚的"
13865,"ground","地"
13866,"groundbait","（为捕鱼投入河或湖的）鱼饵"
13867,"groundbreaking","开创性的"
13868,"ground-breaking",""
13869,"groundcloth","（扎营时用的）防潮地席"
13870,"ground crew","（机场的）地勤人员"
13871,"grounded","头脑清醒的"
13872,"ground floor","底层"
13873,"groundhog","美洲旱獭"
13874,"grounding","基础训练"
13875,"groundless","（恐惧、指控、报道等）无理由的"
13876,"ground level","地面（相对于高处或地下而言）"
13877,"groundnut","同peanut"
13878,"ground plan","（英国英语）底楼平面图"
13879,"ground rent","地租"
13880,"ground rule","基本原则"
13881,"groundsheet","（露营时用的）铺地防潮布"
13882,"groundskeeper","同groundsman"
13883,"groundsman","运动场地管理员"
13884,"ground staff","运动场管理员"
13885,"groundswell","（公众情绪、支持度等的）迅速高涨"
13886,"groundwater","地下水"
13887,"groundwork","基础"
13888,"group","（一）组"
13889,"groupie","（到处跟随偶像的）流行乐团迷"
13890,"grouping","（具有共同点的）一类人（或事物）"
13891,"group therapy","集体治疗法（一组病人相互讨论各自问题的一种心理治疗法）"
13892,"grouse","松鸡"
13893,"grout","（用于墙上瓷砖间抹缝的）勾缝剂"
13894,"grove","树丛"
13895,"grovel","卑躬屈膝"
13896,"grow","生长"
13897,"grow apart","（关系）变得有隔阂"
13898,"grow away from","与…逐渐疏远"
13899,"grower","种植者"
13900,"growing pains","（发展初期的）暂时困难"
13901,"growing season","（植物或作物的）生长季节"
13902,"grow into","长得适合穿"
13903,"growl","（狗等）低声吼叫"
13904,"grown","成年的"
13905,"grown-up","（用作儿语）成年人"
13906,"grow on","越来越被…喜欢"
13907,"grow out","（使）头发长长以让原来的发式消失"
13908,"grow out of","（因自身长大或改变而）改掉（或戒除）（习惯、爱好等）"
13909,"growth","发展"
13910,"grow up","长大成人"
13911,"grub","（昆虫的）幼虫"
13912,"grubby","肮脏的"
13913,"grub out",""
13914,"grub up","掘出"
13915,"grudge","不满"
13916,"grudge match","势不两立的比赛"
13917,"grudging","勉强的"
13918,"gruel","燕麦粥"
13919,"gruelling","累垮人的"
13920,"gruesome","令人厌恶的"
13921,"gruff","（嗓音）粗哑的"
13922,"grumble","抱怨"
13923,"grumpy","脾气坏的"
13924,"grunge","垃圾摇滚乐"
13925,"grunt","（尤指因为烦恼或不感兴趣）咕噜"
13926,"gsm","全球通"
13927,"g-string","G带"
13928,"guacamole","墨西哥鳄梨酱"
13929,"guano","海鸟粪（用作肥料）"
13930,"guarantee","确保"
13931,"guaranteed","有保证的"
13932,"guarantor","担保人"
13933,"guard","守卫"
13934,"guard against","提防"
13935,"guard dog","警卫犬"
13936,"guarded","谨慎的"
13937,"guardian","监护人"
13938,"guardian angel","守护天使"
13939,"guardianship","监护人的身份"
13940,"guard of honour","仪仗队"
13941,"guard rail",""
13942,"guardrail","护栏"
13943,"guardsman","（英国）近卫军士兵"
13944,"guard's van","列车长室"
13945,"guava","番石榴"
13946,"gubernatorial","州长的"
13947,"guerilla",""
13948,"guerrilla","游击队员"
13949,"guess","猜"
13950,"guesstimate","大概估计"
13951,"guesswork","猜测"
13952,"guest","客人"
13953,"guest book","住宿登记簿"
13954,"guesthouse",""
13955,"guest house","旅馆"
13956,"guest of honour","贵客"
13957,"guest room","客房"
13958,"guest worker","（尤指来自贫穷国家的）客籍工人"
13959,"guff","胡说八道"
13960,"guffaw","狂笑"
13961,"guidance","指导"
13962,"guidance counselor","（就业等的）咨询老师"
13963,"guidance system","导航系统"
13964,"guide","（英国的）女童子军（美国为Girl Scout）"
13965,"guidebook","旅行指南"
13966,"guide book",""
13967,"guided missile","导弹"
13968,"guide dog","导盲犬"
13969,"guided tour","有导游的游览"
13970,"guided writing","指导性写作"
13971,"guideline","指导方针"
13972,"guild","同业公会"
13973,"guilder","荷兰盾（荷兰曾使用的货币单位"
13974,"guildhall","（英国同业公会）会馆"
13975,"guile","狡诈"
13976,"guileless","不狡诈的"
13977,"guillotine","断头台（尤见于旧时法国）"
13978,"guilt","内疚"
13979,"guilt complex","犯罪情结"
13980,"guilt-ridden","有负罪感的"
13981,"guilty","内疚的"
13982,"guinea","几尼（英国旧货币单位"
13983,"guinea fowl","珠鸡"
13984,"guinea pig","实验对象"
13985,"guinea-pig",""
13986,"guise","外表"
13987,"guitar","吉他"
13988,"guitarist","吉他弹奏者"
13989,"gulag","劳改营"
13990,"gulch","（两边陡峭的）急流峡谷"
13991,"gulf","波斯湾"
13992,"gull","（海）鸥"
13993,"gullet","食道"
13994,"gulley",""
13995,"gullible","轻信的"
13996,"gully","隘谷"
13997,"gulp","吞食"
13998,"gulp down","把…一口吞下（或咽下）"
13999,"gum","口香糖"
14000,"gumball","球形口香糖"
14001,"gumbo","秋葵汤（美国南部用肉或鱼以及秋葵荚做的汤或炖菜）"
14002,"gumboot","长筒橡胶靴"
14003,"gumdrop","橡皮糖"
14004,"gummy","黏性的"
14005,"gumption","机智"
14006,"gum tree","桉树"
14007,"gum up","使出故障"
14008,"gun","枪"
14009,"gunboat","炮艇"
14010,"gun control","枪支管制法"
14011,"gundog",""
14012,"gun dog","猎犬"
14013,"gun down","枪杀"
14014,"gunfight","枪战"
14015,"gunfire","炮火"
14016,"gun for","伺机伤害"
14017,"gunge","（尤指令人讨厌的）黏性物质"
14018,"gung-ho",""
14019,"gung ho","（对战斗等）起劲的"
14020,"gunk","（尤指令人讨厌的）黏糊糊的东西"
14021,"gunman","持枪歹徒"
14022,"gunner","炮手"
14023,"gunnery","火炮射击"
14024,"gunpoint","在枪口威胁下"
14025,"gunpowder","火药"
14026,"gun-runner","走私军火者"
14027,"gun-running","军火走私"
14028,"gunship",""
14029,"gunshot","（射出的）枪弹"
14030,"gun-shy","提心吊胆的"
14031,"gunslinger","持枪者"
14032,"gunsmith","军械工人"
14033,"guppy","虹鳉（一种颜色亮丽的热带小鱼）"
14034,"gurgle","潺潺地流"
14035,"gurney","（医院里推送病人的）轮床"
14036,"guru","专家"
14037,"gush","喷出"
14038,"gussy",""
14039,"gussy up","把…打扮得漂漂亮亮"
14040,"gust","一阵强风"
14041,"gusto","（做某事的）热情"
14042,"gusty","（风）一阵劲吹的"
14043,"gut","内脏"
14044,"gutless","缺乏勇气的"
14045,"gutsy","勇敢的"
14046,"gutted","极度失望的"
14047,"gutter","（人行道旁的）排水沟"
14048,"guttering","（建筑物的）排水系统"
14049,"gutter press","黄色报刊"
14050,"guttural","（声音）从喉中发出的"
14051,"gut-wrenching","令人震惊的"
14052,"guv","先生（尤用于称呼男性客人）"
14053,"guvnor","老板"
14054,"guv'nor",""
14055,"guy","男人"
14056,"guy fawkes night","盖伊·福克斯之夜（每年11月5日英国的篝火庆?
14057,"guy rope","（支帐篷或立杆子的）牵索"
14058,"guzzle","狂饮"
14059,"gym","健身所"
14060,"gymkhana","赛马会"
14061,"gymnasium","同gym"
14062,"gymnast","体操运动员"
14063,"gymnastics","体操"
14064,"gynaecology","妇科学"
14065,"gypsum","石膏"
14066,"gypsy","吉卜赛人"
14067,"gyrate","（人）旋转"
14068,"gyroscope","陀螺仪"
14069,"h","英语字母表的第8个字母"
14070,"ha","（用在书面语中表示惊讶、生气或高兴）哈"
14071,"ha.",""
14072,"habeas corpus","人身?
14073,"haberdasher","缝纫用品店"
14074,"haberdashery","缝纫用品"
14075,"habit","习惯"
14076,"habitable","可居住的"
14077,"habitat","（动植物的）生境"
14078,"habitation","居住"
14079,"habitual","（动作、状态或行为方式）习惯性的"
14080,"habituated","（人）习惯于…的"
14081,"habitué",""
14082,"hack","劈"
14083,"hack away",""
14084,"hacker","（尤指盗取他人计算机系统中保密信息的）黑客"
14085,"hacking","（咳嗽）干涩刺耳的"
14086,"hacking jacket","粗呢制骑马外套"
14087,"hackles","使…发怒"
14088,"hackneyed","（语句、画面等）陈腐的"
14089,"hack off","砍下"
14090,"hacksaw","钢锯"
14091,"had",""
14092,"haddock","黑线鳕（产于北大西洋海域的一种食用鱼）"
14093,"hades","（希腊神话中的）冥府"
14094,"hadn't","（had not 的常用口语形式）"
14095,"haemoglobin","血红蛋白"
14096,"haemophilia","血友病"
14097,"haemophiliac","血友病患者"
14098,"haemorrhage","体内大出血"
14099,"haemorrhoid","痔"
14100,"hag","老丑妇"
14101,"haggard","（尤指因病或睡眠不足）憔悴的"
14102,"haggis","肉馅羊肚"
14103,"haggle","（尤指就价格）争论"
14104,"hah",""
14105,"ha ha","哈哈（笑声）"
14106,"ha ha ha",""
14107,"hail","赞扬"
14108,"hail mary","万福马利亚（天主教祈祷词）"
14109,"hailstone","雹子"
14110,"hail storm",""
14111,"hailstorm","雹暴"
14112,"hair","头发"
14113,"hairbrush","发梳"
14114,"haircare","头发护理"
14115,"hair care","头发护理"
14116,"haircut","理发"
14117,"hairdo","发式"
14118,"hairdresser","理发师"
14119,"hairdressing","理发业"
14120,"hairdrier",""
14121,"hairdryer","吹风机"
14122,"-haired","（与形容词连用"
14123,"hairgrip","小发夹"
14124,"hair-grip",""
14125,"hairless","（身体部位）无毛的"
14126,"hairline","发际线"
14127,"hairnet","发网"
14128,"hairpiece","假发"
14129,"hairpin","小发夹"
14130,"hairpin bend","（道路的）急转弯"
14131,"hair-raising","惊险的"
14132,"hair's breadth","间不容发"
14133,"hair shirt","(旧时僧侣苦行修炼时穿的）刚毛衬衫"
14134,"hairspray","发胶"
14135,"hairstyle","发式"
14136,"hairstylist","（尤指为摄影或电影业服务的）发型师"
14137,"hair stylist",""
14138,"hair-trigger","一触即发的"
14139,"hairy","多毛的"
14140,"hake","无须鳕"
14141,"halal","（畜肉）按伊斯兰教教规屠宰的"
14142,"halcyon","（旧日时光）美好的"
14143,"hale","(尤指老人）健壮的"
14144,"half","半"
14145,"half-baked","（想法、计划等）考虑不周的"
14146,"half board","半食宿（指旅馆费用包括早餐和晚餐）"
14147,"half-board",""
14148,"half-brother","同母异父（或同父异母）兄弟"
14149,"half-caste","混血的"
14150,"half day",""
14151,"half-day","半天工作日"
14152,"half-hearted","半心半意的"
14153,"half life",""
14154,"half-life","（放射性物质的）半衰期"
14155,"half-mast","（对死者表示尊敬和哀悼的）降半旗"
14156,"half-measure",""
14157,"half measure","折中政策"
14158,"half note","二分音符"
14159,"halfpenny","（英国旧币制中的）半便士硬币"
14160,"half-price","半价的"
14161,"half-sister","同母异父（或同父异母）姐妹"
14162,"half term",""
14163,"half-term","期中假"
14164,"half-timbered","（旧式房屋）露明木架的"
14165,"half time",""
14166,"half-time","（足球、橄榄球、篮球比赛等的）中场休息"
14167,"half-truth","半真半假的陈述"
14168,"half truth",""
14169,"halfway","（空间上）在中间"
14170,"half-way",""
14171,"halfway house","折中办法"
14172,"half-wit",""
14173,"half-witted","傻的"
14174,"half-yearly","（历年或财年）年度中期的"
14175,"halibut","庸鲽"
14176,"halitosis","口臭"
14177,"hall","（房子或公寓的）门厅"
14178,"hallelujah","哈利路亚（用于宗教唱诵和祷词中"
14179,"hallmark","标志"
14180,"hallo",""
14181,"hall of fame","（某领域中的）杰出人物"
14182,"hall of residence","（大学或学院的）学生宿舍（楼）"
14183,"hallowed","（通常因古老、重要或有名望而）受崇敬的"
14184,"halloween","万圣节前夕（10月31日晚"
14185,"hallowee?n",""
14186,"hallucinate","（因生病或吸毒而）产生幻觉"
14187,"hallucination","（因生病或吸毒所致的）幻觉（体验）"
14188,"hallucinatory","（似）幻觉的"
14189,"hallucinogen","致幻剂"
14190,"hallucinogenic","致幻的"
14191,"hallway","（大楼里的）走廊"
14192,"halo","（绘画中圣人、天使头上的）光环"
14193,"halt","（使）停止行进"
14194,"halter","（马的）笼头"
14195,"halterneck","（露背装的）绕颈系带"
14196,"halting","（通常指因不确定而）结结巴巴的"
14197,"halve","把…减半"
14198,"ham","火腿"
14199,"hamburger","汉堡牛肉饼"
14200,"ham-fisted","笨手笨脚的"
14201,"hamlet","小村庄"
14202,"hammer","锤子"
14203,"hammer away","不懈地致力（于）"
14204,"hammer in",""
14205,"hammer out","（经长时间或艰难的讨论）达成（一致意见或协定）"
14206,"hammock","（帆布或网状的）吊床"
14207,"hamper","妨碍"
14208,"hamster","（常作为宠物饲养的）仓鼠"
14209,"hamstring","绳肌腱"
14210,"hand","手"
14211,"hand-","（与过去分词连用）表示“手工的”"
14212,"hand around","递送"
14213,"hand back","归还"
14214,"handbag","（女用）手提包"
14215,"handball","（英国的）手球（运动）"
14216,"handbill","传单"
14217,"handbook","手册"
14218,"handbrake","（车辆的）手闸"
14219,"hand brake",""
14220,"handcart","手推车"
14221,"hand-cart",""
14222,"handclap","鼓掌"
14223,"handcuff","手铐"
14224,"hand down","把…传下去"
14225,"-hander","（与 two"
14226,"handful","几个"
14227,"hand grenade","同 grenade"
14228,"handgun","手枪"
14229,"hand gun",""
14230,"hand-held","手持式的"
14231,"handheld","手持式的"
14232,"handhold","（攀登时）手可抓的地方"
14233,"handicap","（生理或智力上的）残障"
14234,"handicapped","残疾的"
14235,"handicraft","手工艺"
14236,"hand in","上交（作业、拾到的失物等）"
14237,"handiwork","手工（作品）"
14238,"handkerchief","手帕"
14239,"handle","（门上的）拉手"
14240,"handlebar","（自行车的）车把"
14241,"handlebar moustache","翘八字胡须"
14242,"handlebar mustache","翘八字胡须"
14243,"handler","驯兽员"
14244,"hand luggage","（可随身带上飞机的）手提行李"
14245,"hand-made",""
